epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.06168,0.232236,1.896773,0.313725,0.0007,109.4727
2,1.782943,0.332392,1.856191,0.329657,0.0007,76.009
3,1.651585,0.379997,1.67238,0.389706,0.0007,76.1937
4,1.552405,0.41503,1.566749,0.435049,0.0007,77.0136
5,1.47235,0.451052,1.522811,0.459559,0.0007,75.331
6,1.410198,0.477327,1.485276,0.454657,0.0007,76.8714
7,1.364714,0.504026,1.39667,0.487745,0.0007,75.872
8,1.286678,0.531572,1.378559,0.525735,0.0007,75.9953
9,1.256456,0.545557,1.411279,0.5,0.0007,75.4766
10,1.192905,0.570702,1.160196,0.607843,0.0007,76.1876
11,1.166579,0.572821,1.264973,0.563725,0.0007,75.3663
12,1.127878,0.592174,1.185234,0.623775,0.0007,77.1514
13,1.080101,0.618166,1.260053,0.577206,0.00035,75.7084
14,1.008521,0.637661,1.196102,0.605392,0.00035,76.6188
15,0.978674,0.652493,1.178361,0.620098,0.00035,77.3863
16,0.949163,0.667043,1.184153,0.632353,0.000175,76.466
