epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,2.001698,0.250035,1.922525,0.314951,0.001,115.4196
2,1.692871,0.355982,1.7194,0.390931,0.001,112.0794
3,1.520236,0.438056,1.558134,0.474265,0.001,111.4282
4,1.406997,0.478175,1.540602,0.484069,0.001,111.7273
5,1.315298,0.523096,1.283149,0.551471,0.001,111.7942
6,1.233792,0.552055,1.28884,0.577206,0.001,111.7093
7,1.160201,0.57381,1.262121,0.579657,0.001,111.1337
8,1.122137,0.592598,1.279791,0.585784,0.001,109.918
9,1.063097,0.616754,1.165916,0.588235,0.001,110.9665
10,1.040645,0.634835,1.153759,0.634804,0.001,110.8671
11,0.99816,0.64769,1.153113,0.617647,0.001,110.5971
12,0.957307,0.658003,1.073781,0.632353,0.001,109.0744
13,0.940282,0.671423,1.031926,0.67402,0.001,107.9388
14,0.900119,0.684277,1.05575,0.713235,0.001,105.0691
15,0.874111,0.689928,1.085469,0.637255,0.001,104.4213
16,0.847312,0.698686,0.99799,0.688725,0.001,103.6255
17,0.823148,0.711965,1.008498,0.676471,0.001,102.7783
18,0.811042,0.713519,1.004575,0.670343,0.001,103.3949
19,0.774383,0.730188,1.021506,0.714461,0.0005,103.4794
20,0.714778,0.755756,0.996226,0.715686,0.0005,103.3102
21,0.693984,0.76621,0.945475,0.707108,0.0005,106.657
22,0.70307,0.75505,0.952914,0.740196,0.0005,102.148
23,0.683315,0.760277,1.014813,0.704657,0.0005,102.6157
24,0.6674,0.769035,0.937082,0.745098,0.0005,103.8781
25,0.654943,0.776522,0.971312,0.73652,0.0005,102.9937
